deal_id,company_name,country,city,date,stage,amount_usd,disclosed,sector,description,founded_year,website,lead_investor,co_investors,investor_types,source,notes
GCC0001,Utexo,UAE,,2026-03,Undisclosed,7500000,TRUE,Deep Tech & AI,,,,,,,News — Google News — UAE funding,REVIEW | UAE blockchain startup Utexo raises $7.5 million seed led by Tether - Wamda | https://news.google.com/rss/articles/CBMimAFBVV95cUxQbTRBQU02TmVjY0NKLUpRXzBxU3J
GCC0002,Infobrim,Saudi Arabia,,2026-03,Seed,3500000,TRUE,Other,,,,,,,News — Google News — Saudi funding,REVIEW | Saudi Arabia's Infobrim secures angel funding at $3.5M valuation - Wamda | https://news.google.com/rss/articles/CBMikAFBVV95cUxNSzVyUXZ5RFZTX3FISUZucWRZZkF
GCC0003,SkipCash,Qatar,Doha,2026-02,Series A,4000000,TRUE,Fintech,Smart payments infrastructure,,,Qatar Development Bank,"Qatar Islamic Insurance Company, KBN Holding, Finjan Venture Investments, Ula Capital, Doha Tech Angels",VC,Perplexity — Fund Portfolio Research,
GCC0004,Kitopi,UAE,,2026-02,Growth,50000000,TRUE,Food & Agritech,,,,,,,News — Google News — UAE funding,REVIEW | UAE startup Kitopi raises $50m from Temasek-backed fund - Tech in Asia | https://news.google.com/rss/articles/CBMijwFBVV95cUxQQkN0RDdrQWtSb215MndQb0hIczV
GCC0005,Juthor,Saudi Arabia,Riyadh,2026-01,Pre-Seed,500000,TRUE,E-commerce & Retail,,,,Flat6Labs,,VC,Perplexity — Fund Portfolio Research,
GCC0006,Property Finder,UAE,Dubai,2026-01,Growth,170000000,TRUE,Proptech,,,,Mubadala Investment Company,BECO Capital,VC,Perplexity — Fund Portfolio Research,
GCC0007,Newera.ai,Saudi Arabia,,2025-12,Pre-Seed,2100000,TRUE,Deep Tech & AI,,,,,,,News — Google News — Saudi funding,REVIEW | Newera.ai raises $2.1 million pre-seed to scale generative AI in Saudi Arabia - Wamda | https://news.google.com/rss/articles/CBMiogFBVV95cUxPc2NQTFloUU4tLTJyOW9nX0t1b3l
GCC0008,Takadao,Saudi Arabia,,2025-11,Seed,3100000,TRUE,Fintech,,,,,,,News — Google News — Saudi funding,REVIEW | Singapore-Saudi Arabian fintech startup Takadao raises US$3.1 million with Hasan.VC backing - Digita | https://news.google.com/rss/articles/CBMiwgFBVV95cUxOQ0dNV1lFd3BSNEVwVms5bkNKaW9
GCC0009,Paquik,UAE,Dubai,2025-11,Pre-Seed,85000,TRUE,Logistics & Supply Chain,,,,,,,News — Google News — seed GCC 2025,REVIEW | Dubai-Based Crowdshipping Startup Paquik Raises $85K Pre-Seed to Expand Cross-Border Deliveries - en | https://news.google.com/rss/articles/CBMixgFBVV95cUxNcFVEODNwRmw2cU1HUjNpeTRDcUx
GCC0010,EMMA Systems,Qatar,Doha,2025-10,Seed,,FALSE,Deep Tech & AI,Aviation operations AI SaaS platform,,,Plus VC,Angel investors,VC,Perplexity — Fund Portfolio Research,
GCC0011,WheelsOn,UAE,Dubai,2025-09,Undisclosed,12500000,TRUE,Proptech,,,,,,,News — Google News — UAE funding,REVIEW | Dubai’s WheelsOn raises $12.5 million in debt and equity for its deposit-free car rental platform -  | https://news.google.com/rss/articles/CBMiXEFVX3lxTE9BMzVwTndlaFRFZUpWeUtxeFpFSWJ
GCC0012,HALA,Saudi Arabia,Riyadh,2025-09,Series B,157000000,TRUE,Fintech,,,,The Rise Fund (TPG),"Sanabil Investments, MEVP, Wamda Capital, Arzan VC",VC,Perplexity — Fund Portfolio Research,
GCC0013,Calo,Saudi Arabia,Riyadh,2025-07,Series B,39000000,TRUE,Food & Agritech,,,,AlJazira Capital,"Nuwa Capital, STV, Khwarizmi Ventures, Al Faisaliah Group, Oraseya Capital",VC,Perplexity — Fund Portfolio Research,
GCC0014,Lucidya,Saudi Arabia,Riyadh,2025-07,Series B,30000000,TRUE,Deep Tech & AI,,,,Impact46,Wa'ed Ventures,VC,Perplexity — Fund Portfolio Research,
GCC0015,Ninja,Bahrain,,2025-07,Growth,254000000,TRUE,Logistics & Supply Chain,,,,,,,News — Google News — raises million Gulf,REVIEW | Ninja raises $254M to join GCC's unicorn club - StartUp Bahrain | https://news.google.com/rss/articles/CBMigAFBVV95cUxORkdncERRMUtnQW9TVnNsR0djbDN
GCC0016,ShipBee,Qatar,Doha,2025-06,Pre-Seed,235000,TRUE,Logistics & Supply Chain,AI-powered digital logistics marketplace,,,GrowthX,Angel investors,VC,Perplexity — Fund Portfolio Research,
GCC0017,Ovasave,UAE,,2025-06,Pre-Seed,1200000,TRUE,Healthtech,,,,,,,News — Google News — GCC venture,"REVIEW | UAE femtech Ovasave secures $1.2 million to expand in Saudi, GCC - Wamda | https://news.google.com/rss/articles/CBMijwFBVV95cUxPZVdSMldJS2NieGI0YTJDQUFpMFh"
GCC0018,SafaQat,Oman,,2025-06,Seed,,FALSE,SaaS & Enterprise Software,AI-powered B2B digital procurement platform,,,Oman Future Fund,Idrak Group,VC,Perplexity — Fund Portfolio Research,
GCC0019,ZabonEx,Oman,,2025-06,Pre-Seed,100000,TRUE,Deep Tech & AI,Predictive analytics for F&B distribution,,,Future Fund Oman,ITHCA Group,VC,Perplexity — Fund Portfolio Research,
GCC0020,Thndr,UAE,,2025-05,Undisclosed,15700000,TRUE,Deep Tech & AI,,,,,,,News — Google News — Series A GCC,"REVIEW | Thndr raises $15.7m to expand investment access in MENA, targets UAE and Saudi Arabia - Techpoint Af | https://news.google.com/rss/articles/CBMiXkFVX3lxTE5kXzY0UFJfTVpyN3JjNmtFZHE3QVR"
GCC0021,Circle,Kuwait,Kuwait City,2025-05,Series A,6000000,TRUE,E-commerce & Retail,Q-commerce and quick delivery marketplace,,,Undisclosed,,VC,Perplexity — Fund Portfolio Research,
GCC0022,True Gamers,UAE,,2025-04,Seed,5000000,TRUE,Media & Entertainment,,,,,,,News — Google News — UAE funding,REVIEW | UAEs True Gamers raises $5 million to fuel its expansion - My Startup World | https://news.google.com/rss/articles/CBMiiwFBVV95cUxQTFcwRUlOYWtsRFBFblhFWmZTSGJ
GCC0023,Hushday,UAE,,2025-04,Pre-Seed,550000,TRUE,Deep Tech & AI,,,,,,,News — Google News — seed GCC 2025,REVIEW | UAE’s Hushday Raises USD 550K to Expand Premium Sales Platform - waya.media | https://news.google.com/rss/articles/CBMiiAFBVV95cUxPcmI4X0w2ZDJUdHo4U05qRUJkWnl
GCC0024,Klaim,UAE,,2025-03,Series A,26000000,TRUE,Fintech,,,,,,,News — Google News — UAE funding,REVIEW | UAE’s Klaim raises $26 million Series A to fast-track insurance claim payments for healthcare provid | https://news.google.com/rss/articles/CBMiU0FVX3lxTE9ZSW1UcVBNZDdOWWF1bDdtMmdWY3l
GCC0025,PIESHIP,Saudi Arabia,,2025-02,Seed,2100000,TRUE,Logistics & Supply Chain,Smart logistics and last-mile delivery platform,,,Nama Ventures,SEEDRA Ventures,VC,Perplexity — Fund Portfolio Research,
GCC0026,Journify,UAE,Dubai,2025-02,Seed,4000000,TRUE,Deep Tech & AI,,,,,,,News — Google News — raises million Gulf,"REVIEW | Dubai’s Journify raises fresh funds, doubles valuation, to grow first-party data marketing across re | https://news.google.com/rss/articles/CBMib0FVX3lxTE1Eb2hYOXA0djhRQzEweU93S1FFUmx"
GCC0027,Flow48,UAE,,2025-02,Undisclosed,69000000,TRUE,Fintech,,,,,,,News — Google News — Series A GCC,REVIEW | UAE fintech start-up Flow48 raises $69m in mix of debt and equity funding - FinTech Futures | https://news.google.com/rss/articles/CBMixgFBVV95cUxNWmhKdHpkNFdwY0k3eXRMR2pqWDF
GCC0028,Lola,Bahrain,,2025-02,Pre-Seed,1300000,TRUE,Food & Agritech,,,,,,,News — Google News — seed GCC 2024,REVIEW | Bahrain’s Foodtech Lola secures 1.3M Pre-Seed funding for GCC expansion - StartUp Bahrain | https://news.google.com/rss/articles/CBMipAFBVV95cUxQTTlwZ1ZYeVFrcjNERUp5TW9GdVp
GCC0029,Sampo AI,Oman,,2025-01,Pre-Seed,750000,TRUE,Deep Tech & AI,AI SaaS for e-commerce pricing optimisation,,,Omantel Innovation Labs,"Waad Investment, Hexnture, Saudi angel investors",VC,Perplexity — Fund Portfolio Research,
GCC0030,Pluto,UAE,,2025-01,Undisclosed,4099999,TRUE,Fintech,,,,,,,News — Google News — UAE funding,REVIEW | UAE-Based Fintech Startup Pluto Secures $4.1Million Pre-Series - CairoScene | https://news.google.com/rss/articles/CBMimAFBVV95cUxPcUJQbkhIaDA3Q0RLanhVUXBiRkF
GCC0031,BioSapien,UAE,,2025-01,Seed,7000000,TRUE,Healthtech,,,,,,,News — Google News — UAE funding,REVIEW | UAE biotech startup BioSapien raises $7 million pre-Series A for cancer treatment platform - MENAbyt | https://news.google.com/rss/articles/CBMiY0FVX3lxTE9iRkhQMXFsUko2NEpyNVB1QkktQUx
